1,2,51,Arsenal,Gunners,London,Emirates Stadium,60260,59.944
2,3,52,Aston Villa,Villains,Birmingham,Villa Park,42785,33.690
3,4,53,Barnsley,Tykes,Barnsley,Oakwell Stadium,23009,0
4,5,54,Birmingham City,Blues,Birmingham,St. Andrew's,30016,0
5,6,55,Blackburn Rovers,Rovers,Blackburn,Ewood Park,31367,0
6,7,56,Blackpool,Seasiders,Blackpool,Bloomfield Road,17338,0
7,8,57,Bolton Wanderers,Trotters,Bolton,Macron Stadium,28723,0
8,9,58,Bournemouth,Cherries,Bournemouth,Vitality Stadium,11464,11.189
9,10,59,Bradford City,Bantams,Bradford,Valley Parade,25136,0
10,11,60,Burnley,Clarets,Burnley,Turf Moor,22546,0
11,12,61,Cardiff City,Clarets,Cardiff,Cardiff City Stadium,33280,0
12,13,62,Charlton Athletic,Addicks,London,The Valley,27111,0
13,14,63,Chelsea,Pensioners,London,Stamford Bridge,41663,41.500
14,15,64,Coventry City,Sky Blues,Coventry,Ricoh Arena,32609,0
15,16,65,Crystal Palace,Eagles,London,Selhurst Park,26255,24.636
16,17,66,Derby County,Rams,Derby,Pride Park Stadium,33597,0
17,18,67,Everton,Toffees,Liverpool,Goodison Park,40221,38.124
18,19,68,Fulham,Cottagers,London,Craven Cottage,25700,0
19,20,69,Hull City,Tigers,Hull,KC Stadium,25586,0
20,21,70,Ipswich Town,Blues,Ipswich,Portman Road,30311,0
21,22,71,Leeds United,Whites,Leeds,Elland Road,39460,0
22,23,72,Leicester City,Foxes,Leicester,King Power Stadium,32262,32.201
23,24,73,Liverpool,Reds,Liverpool,Anfield,44742,43.910
24,25,74,Manchester City,Citizens,Manchester,Etihad Stadium,55097,54.041
25,26,75,Manchester United,Red Devils,Manchester,Old Trafford,75635,75.286
26,27,76,Middlesbrough,Boro,Middlesbrough,Riverside Stadium,34742,0
27,28,77,Newcastle United,Magpies,Newcastle,St. James Park,52405,49.754
28,29,78,Norwich City,Canaries,Norwich,Carrow Road,27244,26.972
29,30,79,Nottingham Forest,Forest,Nottingham,City Ground,30445,0
30,31,80,Oldham Athletic,Latics,Oldham,Boundary Park,13309,0
31,32,81,Portsmouth,Pompey,Portsmouth,Fratton Park,21100,0
32,33,82,Queens Park Rangers,Hoops,London,Loftus Road,18439,0
33,34,83,Reading,Royals,Reading,Madejski Stadium,24161,0
34,35,84,Sheffield United,Blades,Sheffield,Bramall Lane,32702,0
35,36,85,Sheffield Wednesday,Owls,Sheffield,Hillsborough Stadium,39732,0
36,37,86,Southampton,Saints,Southampton,St. Mary's Stadium,32505,30.751
37,38,87,Stoke City,Potters,Stoke,Britannia Stadium,27902,27.534
38,39,88,Sunderland,Black Cats,Sunderland,Stadium of Light,49000,43.071
39,40,89,Swansea City,Swans,Swansea,Liberty Stadium,20520,20.711
40,41,90,Swindon Town,Robins,Swindon,County Ground,15728,0
41,42,91,Tottenham Hotspur,Spurs,London,White Hart Lane,36284,35.776
42,43,92,Watford,Hornets,Watford,Vicarage Road,21577,20.594
43,44,93,West Bromwich Albion,Baggies,Birmingham,The Hawthorns,27000,24.631
44,45,94,West Ham United,Hammers,London,Upton Park,35016,34.910
45,46,95,Wigan Athletic,Latics,Wigan,DW Stadium,25138,0
46,47,96,Wimbledon,Dons,London,Selhurst Park,26255,0
47,48,97,Wolverhampton Wanderers,Wolves,Wolverhampton,Molineux Stadium,31700,0
48,49,98,,,,,0,0
49,50,99,,,,,0,0
50,51,100,,,,,0,0
